# GENERATED - drawn shell motion audit; nothing written to disk.
commit	917077a
input	sha256:b82b54a112fbd7ac14f4447d0bd915b939b85bec68beb2a4459f07c45f083d91
files	443
files_failed	0
build_ms	654525
audit_ms	13392
shell_observations	9817361
links	8162955
terminal_links	1621488
terminal_links_rushed	69273
terminal_links_rushed_timed	12974
terminal_links_static	55446
terminal_links_instant	853
hover_links	3611
rush_links	7430
rush_links_timed	1489
links_static	5937
links_instant	4
seam_jumps	0
pop_outs	32732
pop_ins	31263
pops_paired_forward	3262
pops_paired_backwards	1382
seam_jump_max	0.00
link_speed:0.0-0.5	660
link_speed:0.5-1.0	2951
link_speed:1.0-1.5	19497
link_speed:1.5-1.8	154246
link_speed:1.8-2.2	7887385
link_speed:2.2-2.5	80332
link_speed:2.5-3.0	10433
link_speed:3.0+	7451
rate_links_steady	0.966241
rate_hover_links	0.000442
rate_rush_links	0.000910
rate_pop_outs	0.003334
rate_backwards_pops	0.000141
content_hash	8540ef79f7d472fca4efd6aa6739d005b4dda7d00541d9ba5436ef6204a375cb
