# GENERATED - fresh tank shells against their 5d nibble; nothing written to disk.
commit	da2d5d7
files	443
files_failed	0
records_with_tank	9914126
muzzle_shells	86307
muzzle_inbound_skipped	28522
muzzle_fresh	53150
fresh_nibble_exact_same_record	50572
fresh_nibble_exact_adjacent_record	504
fresh_no_nibble_any_record	47
fresh_nibble_differs	2027
differs_by_one_sector	2024
differs_while_turning	2006
differs_shell_prev_dir_nibble_tank_dir	1749
differs_sign_plus	1058
differs_sign_minus	966
turning_fresh	9909
turning_one_sector_cases	2006
turning_gap_1_4_fresh	816
turning_gap_1_4_cases	518
turning_gap_5_8_fresh	4786
turning_gap_5_8_cases	1087
turning_gap_9_16_fresh	3884
turning_gap_9_16_cases	374
turning_gap_17_up_fresh	423
turning_gap_17_up_cases	27
turning_by_1_sector_fresh	9118
turning_by_1_sector_cases	1750
turning_by_2_sectors_fresh	753
turning_by_2_sectors_cases	243
turning_by_3_up_fresh	38
turning_by_3_up_cases	13
flight_decided	513
flight_follows_list_dir	3
flight_follows_nibble	510
still_listed_under_stale_dir	1620
relisted_under_nibble_dir	2
control_decided	32282
control_follows_list_dir	32272
control_follows_neighbour	10
logs_with_one_sector_cases	378
pin_candidates	52547
pin_pinned	9776
pin_steady_n	7526
pin_steady_stale	0
pin_e0_n	214
pin_e0_stale	147
pin_e1_n	240
pin_e1_stale	157
pin_e2_n	201
pin_e2_stale	84
pin_e3_n	192
pin_e3_stale	83
pin_e4_n	159
pin_e4_stale	0
pin_e5_n	133
pin_e5_stale	0
pin_e6_n	170
pin_e6_stale	0
pin_e7_n	147
pin_e7_stale	0
pin_e8_n	117
pin_e8_stale	0
pin_e9_n	102
pin_e9_stale	0
pin_e10_n	69
pin_e10_stale	0
pin_e11_n	70
pin_e11_stale	0
pin_e12_n	64
pin_e12_stale	0
pin_e13_n	58
pin_e13_stale	0
pin_e14_n	91
pin_e14_stale	0
pin_e15_n	82
pin_e15_stale	0
pin_turning_e0_1_n	44
pin_turning_e0_1_stale	43
pin_turning_e2_3_n	63
pin_turning_e2_3_stale	40
pin_stopped_gap_1_4_e0_1_n	121
pin_stopped_gap_1_4_e0_1_stale	113
pin_stopped_gap_5_8_e0_1_n	213
pin_stopped_gap_5_8_e0_1_stale	134
pin_stopped_gap_9_up_e0_1_n	76
pin_stopped_gap_9_up_e0_1_stale	14
pin_e4_up_n	1262
pin_e4_up_stale	0
