# GENERATED - drawn shell motion audit; nothing written to disk.
commit	f7c7c39
input	sha256:b82b54a112fbd7ac14f4447d0bd915b939b85bec68beb2a4459f07c45f083d91
files	443
files_failed	0
build_ms	590923
audit_ms	25215
shell_observations	9817358
links	8167953
terminal_links	1633884
terminal_links_rushed	69831
terminal_links_rushed_timed	13563
terminal_links_static	55427
terminal_links_instant	841
hover_links	4529
rush_links	7887
rush_links_timed	1863
links_static	6021
links_instant	3
seam_jumps	0
pop_outs	15335
pop_ins	18793
pops_paired_forward	1221
pops_paired_backwards	629
links_stalled	19676
links_stalled_steady	12695
links_stalled_steady_by_cadence	494
hover_links_stalled	1591
links_after_stall	19516
links_after_stall_steady	16744
rush_links_after_stall	47
hover_links_after_stall	262
seam_jump_max	0.00
link_speed:0.0-0.5	1353
link_speed:0.5-1.0	3176
link_speed:1.0-1.5	21151
link_speed:1.5-1.8	156736
link_speed:1.8-2.2	7907228
link_speed:2.2-2.5	53666
link_speed:2.5-3.0	16743
link_speed:3.0+	7900
rate_links_steady	0.968080
rate_links_steady_unstalled	0.968859
rate_hover_links	0.000554
rate_hover_links_unstalled	0.000361
rate_rush_links	0.000966
rate_rush_links_unstalled	0.000962
rate_pop_outs	0.001562
rate_backwards_pops	0.000064
content_hash	00e812e65c694f3409b6e7d023350a2d9b6f35481cd734567459af8d60fff5eb
